song_id	title	raaga	thaat	taala	form	lead_artist	concert	length_sec	layer
0	Raag Basanti Kedar	Basantī kēdār	kalyan	unknown	unknown	Milind Malshe	unknown	1001.4	-1
1	Raag Dagori/Deepki	Ḍāgori	asavari	unknown	unknown	Milind Malshe	unknown	639.8	-1
2	Raag Hindol Pancham	Hindōl pañcam	kalyan	unknown	unknown	Milind Malshe	unknown	727.6	-1
3	Raag Jait Kalyan	Jait kalyāṇ	kalyan	unknown	unknown	Milind Malshe	unknown	1468.0	-1
4	Raag Jogiya	Jōgiyā	bhairav	unknown	unknown	Milind Malshe	unknown	416.9	-1
5	Raag Khat Todi	Khaṭa	bhairavi	unknown	unknown	Milind Malshe	unknown	1274.8	-1
6	Raag Khokar	Khokar	khamaj	unknown	unknown	Milind Malshe	unknown	824.9	-1
7	Raag Komal Rishav Aasavari	Kōmal riṣabh asāvēri	bhairavi	unknown	unknown	Milind Malshe	unknown	1429.2	-1
8	Raag Lalita Gauri	Gaurī	poorvi	unknown	unknown	Milind Malshe	unknown	991.1	-1
9	Raag Nat Kamod	Naṭ kāmōd	khamaj	unknown	unknown	Milind Malshe	unknown	546.6	-1
10	Raag Ramgauri & Gauri	Gaurī	poorvi	unknown	unknown	Milind Malshe	unknown	1068.5	-1
11	Raag Sohani	Sōhinī	marwa	unknown	unknown	Milind Malshe	unknown	87.6	-1
12	Raag Sooha Kanada	Suhā	kafi	unknown	unknown	Milind Malshe	unknown	971.2	-1
13	Raag Triveni	Trivēṇī gauri	poorvi	unknown	unknown	Milind Malshe	unknown	1508.7	-1
14	Aahir Bhairon	Ahira bhairav	bhairav	Jhaptāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	589.4	-1
15	Bairagi	Bairāgi	bhairav	ēktāl, ēktāl	unknown	Ajoy Chakrabarty	unknown	899.5	-1
16	Bilaskhani Todi	Bilāsakhānī tōḍī	todi	Tīntāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	854.5	-1
17	Kalavati	Kalāvati	khamaj	Rūpak, Tīntāl	unknown	Ajoy Chakrabarty	unknown	343.9	-1
18	Lyrics of all the Bandishes	unknown	unknown	unknown	unknown	Ajoy Chakrabarty	unknown	419.0	-1
19	Malkauns	Mālkauns	bhairavi	ēktāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	333.1	-1
20	Maru Bihag	Mārūbihāg	bilawal	ēktāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	962.0	-1
21	Multani	Multāni	todi	Tīntāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	665.8	-1
22	Nat Bhairon	Naṭ bhairav	bhairav	ēktāl, Jhūmrā, Tīntāl	unknown	Ajoy Chakrabarty	unknown	638.4	-1
23	Raageshree	Rāgēśrī	khamaj	Jhūmrā, Tīntāl	unknown	Ajoy Chakrabarty	unknown	492.3	-1
24	Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty	unknown	unknown	unknown	unknown	Ajoy Chakrabarty	unknown	389.2	-1
25	Sudh Kalyan	Śuddh kalyāṇ	kalyan	ēktāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	903.7	-1
